ids,labels,parents
2030,"T-VIR-902 - Optimizing 3d objects poly number",422
2018,"T-VIR-902 - Writing a Game Design Document",277
2345,"T-VIR-901 - Integrating shaders or particles library  ",1388
2233,"T-DAT-902 - Arguing one's opinion",134
162,"2.6 Managing digital identity",148
2235,"T-DAT-902 - Extracting non-trivial features for better predictions",281
1494,"T-NSA-800 - Collect metrics",1362
1841,"T-ESP-901 - Building a full unit test coverage",214
2044,"T-VIR-902 - Producing a clean code",180
167,"2.2.B03 - Organize a conference",164
2056,"T-VIR-902 - Building a full unit test coverage",214
1411,"5.4.B05 - Identify required skills ",236
2049,"T-VIR-902 - Setting a continuous integration process",355
2042,"T-VIR-902 - Submitting a clean and well organised delivery",189
2046,"T-VIR-902 - Delivering a robust solution",249
2045,"T-SEC-902 - Producing a clean code",180
2047,"T-SEC-902 - Delivering a robust solution",249
2048,"T-SEC-902 - Defining an overview of risk analaysis and remediation pairs",203
2043,"T-SEC-902 - Submitting a clean and well organised delivery",189
2037,"T-VIR-902 - Publishing on a public platform",2036
2308,"T-VIR-901 - Addressing a clear and organized speech",132
2334,"T-VIR-901 - Delivering in time",183
2038,"T-VIR-902 - Delivering in time",183
1504,"T-NSA-800 - Setting up a CD pipeline",355
2057,"T-VIR-902 - Producing a fast application",1309
2234,"T-IOT-902 - Arguing one's opinion",134
207,"3.4 Programming",178
2236,"T-IOT-902 - Using sensors to collect data",1225
2272,"T-AIA-902 - Writing code documentation",198
2117,"T-EPI-000 - Communicating inside your company or school",368
2110,"T-DIT-901 - Identifying acceptance pain points",2000
2349,"T-VIR-901 - Producing a reactive code",1309
2052,"3.2.B10 - Use SDK",179
2051,"T-VIR-902 - Integrating shaders or particles library",1388
2054,"T-VIR-902 - Implementing a game state pattern  ",218
2055,"T-VIR-902 - Developing a multiplayer game",212
2058,"T-VIR-902 - Implementing an Shaders algorithm",1394
2059,"T-VIR-902 - Implementing an AI algorithm",1394
2053,"T-VIR-902 - Using a XR-SDK",2052
2344,"T-VIR-901 - Overlaying data",1286
2350,"T-VIR-901 - Performing multiplatform build",2060
2064,"T-SEC-902 - Sandboxing environment",205
1286,"3.2.B03 - Overlay data",179
2115,"T-EPI-000 - Supporting a talk with relevant slides",128
2120,"T-EPI-000 - Defining procedures",1488
2124,"T-EPI-000 - Giving a talk in front of students",169
2237,"T-AIA-902 - Taking into account various constraints of a given problem ",1355
2405,"T-PRO-007 - Locating logs",280
2273,"T-DAT-902 - Writing code documentation",198
2284,"T-IOT-902 - Connecting sensor to internet through gateway single-board",216
2300,"T-IOT-902 - Adapting wireless transmission to the case",1636
2303,"T-DAT-902 - Extracting new features from initial dataset",1290
2130,"T-EPI-000 - Adapting communication to the specific audience",429
2131,"T-EPI-000 - Promoting a project or oneself",1263
1512,"T-NSA-800 - Complying with the subject",228
216,"3.4.B06 - Transmit information between two entities",207
2062,"T-VIR-902 - Performing multiplatform build",2060
2238,"T-DAT-902 - Discriminating relevant information",145
2240,"T-DAT-902 - Producing  quality charts",1230
2244,"T-DAT-902 - Choosing relevant topics",1362
2260,"T-AIA-902 - Using a versioning tool",186
2274,"T-AIA-902 -  Batch creating episodes for training",1386
2294,"T-AIA-902 - Identifying incorrect input",1330
2241,"T-AIA-902 - Assessing quality of process and results",1232
2285,"T-AIA-902 - Producing a fast algorithm",1309
2139,"T-EPI-000 - Assisting users in using an application",358
1290,"5.3.B05 - Hack  a tool",231
2239,"T-AIA-902 - Discriminating relevant information",145
2137,"T-EPI-000 - Crafting an object",1287
2138,"T-EPI-000 - Hacking a tool",1290
2141,"T-EPI-000 - Facilitating newbies integration",1273
1395,"T-DEV-810 - Coding a heatmap (or similar)",1394
1261,"T-ESP-800 - Respecting a coding style",1260
393,"4.3.B02 - Use digital technologies to improve well-being",253
1353,"T-DIT-810 - Obtaining interviews with doctors or any medical staff",1352
1330,"5.1.B07 - Identify an anomaly",227
1421,"T-WEB-800 - Storing data",142
1419,"T-DEV-800 - Storing data",142
1460,"T-DEV-800 - Building a full unit test coverage",214
1880,"T-CLO-901 - Investigating independant hypervisors LAN sharing",1355
1817,"5.2.B14 - Draw lessons from experience",237
2133,"T-EPI-000 - Using digital technologies to improve well-being",393
2134,"T-EPI-000 -  Ensuring connections safety of each component",1323
2135,"T-EPI-000 - Suggesting improvements",1817
2136,"T-EPI-000 - Designing a creative solution",442
2411,"T-PRO-007 - Estimating an amount of work",420
2140,"T-EPI-000 - Organizing training sessions",406
287,"T-WEB-700 - Storing text data",142
292,"T-WEB-700 - Displaying complex data",290
1938,"T-AIA-901 - Organizing a code in logical entities",220
1579,"T-MAJ-800 - Using a datascience or a ML library",1388
1641,"T-MAJ-800 - Discriminating operable data",1637
1626,"T-MAJ-800 - Automating recovery",343
2242,"T-DAT-902 - Assessing produced work",1232
2261,"T-DAT-902 - Using a versioning tool",186
2275,"T-AIA-902 - Taking ownership of existing code",1283
2287,"T-AIA-902 - Implementing an reinforcment learning algorithm",1394
2304,"T-IOT-902 - Using a sensor with creativity",1290
2295,"T-DAT-902 - Identifying an anomaly",1330
1226,"1.1.B06 - Get relevant 3D-models",140
166,"T-PRO-000 - Creating a tutorial",165
1931,"T-DAT-901 - Automating patching",1297
2803,"T-NSA-800 - Taking infrastructure's costs into account",400
2243,"T-AIA-902 - Choosing relevant metrics",1362
2142,"T-ESP-902 - Addressing a clear and organized speech",132
2143,"T-ESP-902 - Supporting a talk with relevant slides",128
2145,"T-ESP-902 - Answering questions",136
2146,"T-ESP-902 - Arguing one's opinion",134
2147,"T-ESP-902 - Complying with the procedure manual",374
2150,"T-ESP-902 - Using specific tools to collaborate as a team",172
2151,"T-ESP-902 - Respecting a testing procedure",1260
2173,"T-ESP-902 - Facilitating product acceptance",1648
2262,"T-IOT-902 - Using a versioning tool",186
2276,"T-IOT-902 - Upgrading an existing firmware",1283
2149,"T-ESP-902 - Assessing produced work",1232
2296,"T-IOT-902 - Identifying an anomaly",1330
2198,"T-MAJ-800 - Setting up the possibility to test one's solution with the final user",203
2075,"T-VIR-902 - Designing an intuitive and ergonomic user-interface ",1245
2311,"T-VIR-901 - Documenting produced work",277
2153,"T-ESP-902 - Delivering in time",183
2154,"T-ESP-902 - Using a versioning tool",186
2155,"T-ESP-902 - Submitting a clean and well organised delivery",189
2156,"T-ESP-902 - Producing a clean code",180
2160,"T-ESP-902 - Automating generation of documentation",1289
2161,"T-ESP-902 - Automating tests launching",1292
1921,"T-DAT-901 - Ensuring scraper robustness",249
2162,"T-ESP-902 - Packaging the components into one functional app",1582
2165,"T-ESP-902 - Complying with the subject",228
2166,"T-ESP-902 - Proving flexibility and reactivity to client needs",259
2167,"T-ESP-902 - Taking into account the budget and financial aspects of the project",400
2168,"T-ESP-902 - Taking into account legal aspects of a project",1638
2169,"T-ESP-902 - Refering to a standard",1639
2190,"T-PRO-902 - Complying with specifications",228
1639,"5.2.B13 - Refer to a standard",237
2171,"T-ESP-902 - Facilitating newbies integration",1273
2172,"T-ESP-902 - Identifying skills needed to complete the project",1411
2277,"T-AIA-902 - Using specific libraries",1388
2288,"T-DAT-902 - Sorting features by importance",1394
2305,"T-AIA-902 - Giving instructions to use the project",358
2199,"T-MAJ-800 -  Batch creating dataset for training",1386
2187,"T-PRO-902 - Writing a concise document",410
2186,"T-PRO-902 - Communicating inside your company or school",368
2114,"T-EPI-000 - Summing up information from a hubtalk",2113
2121,"T-EPI-000 - Answering questions",136
2193,"T-MAJ-800 - Writing a data scientist report",410
2061,"3.4.B18 - Respect the Open-closed principle (from S.O.L.I.D.)",207
1370,"2.2.B07 - Share an organized set of documents",164
2192,"T-MAJ-800 - Documenting IoT solution",277
2196,"T-MAJ-800 - Drafting a compelling communication plan",1810
2188,"T-PRO-902 - Adapting communication scheme to an objective",1346
2194,"T-MAJ-800 - Pentesting to identify security weaknesses",1232
2191,"T-PRO-902 - Arguing one's report",134
2189,"T-PRO-902 - Adapting one's creation",1283
2805,"T-NSA-800 - Setting up a CI pipeline",1292
2245,"T-AIA-902 - Keeping persistent the parameters resulting from learning phase",142
2289,"T-IOT-902 - Ensuring devices safety",1317
2197,"T-MAJ-800 - Defining an overview of risk analaysis and remediation pairs",203
2195,"T-MAJ-800 - Sharing the set of background search documents",1370
2113,"0.2.B01 - Sum up information from an oral presentation",125
2200,"T-MAJ-800 - Automating generation of documentation",1289
2202,"T-MAJ-800 - Organizing a code in logical entities",220
2203,"T-MAJ-800 - Building a full unit test coverage",214
2204,"T-MAJ-800 - Developing a complex algorithm",1394
2341,"T-VIR-901 - Delivering a robust solution",249
2205,"T-MAJ-800 - Compiling on all required plateforms",2060
2206,"T-MAJ-800 - Designing the code to easily add new device",2061
2207,"T-MAJ-800 - Defining a secure secret storage",327
2208,"T-MAJ-800 - Limitating open ports",330
2209,"T-MAJ-800 - Defining highest privilege rights",362
2210,"T-MAJ-800 - Identifying anomalies",1330
2211,"T-MAJ-800 - Writing software architecture specifications",243
2212,"T-MAJ-800 - Identifying implementation steps",238
2213,"T-MAJ-800 - Organizing a project in several independant components",245
2214,"T-MAJ-800 - Proving flexibility and reactivity to client needs",259
2215,"T-MAJ-800 - Foreseeing legal pitfalls of a project",1638
2217,"T-MAJ-800 - Composing an heterogeneous skilled team",404
2218,"T-MAJ-800 - Identifying acceptance pain points",2000
1587,"T-MAJ-800 - Transmitting information between the single-board microcontroller and the app",216
2297,"T-IOT-902 - Organizing a project in several independant components",245
2301,"T-IOT-902 - Implementing innovative features",442
2306,"T-DAT-902 - Giving instructions to read the notebook",358
422,"1.3.B05 - Balance size against quality",141
1317,"4.1.B06 - Ensure devices safety",248
400,"5.2.B08 - Take into account budget and financial aspects of a project",237
2343,"T-CLO-902 - Describing assessment steps",203
2246,"T-DAT-902- Storing data",142
2312,"T-CLO-902 - Defining a deployment procedure",1488
2804,"T-NSA-800 - Ensuring deployment quality",320
1238,"1.3.B06 - Log data in a file",141
2313,"T-VIR-901 - Answering questions",136
2326,"T-VIR-901 - Designing an intuitive and ergonomic user-interface ",1245
2340,"T-VIR-901 - Producing a clean code",180
2367,"T-CLO-902 - Setting up an alert system",1330
1234,"1.2.B07 - Evaluate artefacts security using public vulnerabilities databases",144
1253,"2.2.B05 - Share the display of a connected device",164
2331,"T-CLO-902 - Using project management tools",175
2428,"T-PRO-007 - Writing code documentation",198
2332,"T-CLO-902 - Promoting a project",1263
2337,"T-CLO-902 - Using a versioning tool",186
2339,"T-CLO-902 - Submitting a clean and well organised delivery",189
2060,"3.4.B17 - Perform cross-plateform compilation",207
183,"3.0.B01 - Deliver in time",265
2328,"T-VIR-901 - Sharing smartphone display",1253
245,"5.2.B05 - Organize a project in several independent components",237
2342,"T-CLO-902 - Delivering a robust solution",249
2330,"T-VIR-901 - Using project management tools",175
2336,"T-VIR-901 - Using a versioning tool",186
2338,"T-VIR-901 - Submitting a clean and well organised delivery",189
2347,"T-CLO-902 - Building a functional test sequence",224
2352,"T-CLO-902 - Guaranteeing zero-downtime deployment",315
315,"4.1.B01 - Guarantee uptime",248
2353,"T-CLO-902 - Creating lightweight Docker images",205
1509,"4.1.B07 - Improve infrastructure safety",248
2358,"T-CLO-902 - Reinforcing network access",330
254,"4.4 Protecting the environment",247
2369,"T-VIR-901 - Designing a creative yet useful solution",442
2348,"T-VIR-901 - Utilizing an XR engine",1306
2361,"T-VIR-901 - Complying with the subject",228
2346,"T-VIR-901 - Connecting to APIs",216
2396,"T-SEC-901 - Reconfiguring security rules",402
2397,"T-SEC-901 - Logging devices inputs",1290
2355,"T-CLO-902 - Limiting infra capabilities",1509
2356,"T-CLO-902 - Backuping the databases",1520
2357,"T-CLO-902 - Storing secrets",327
2363,"T-CLO-902 - Guaranteeing a fast recovery",341
2366,"T-CLO-902 - Defining orchestrator access permissions",362
2368,"T-CLO-902 - Isolating components in Docker containers",245
1800,"T-PRO-000 - Exploiting lateraly vulnerable artefacts",1295
1292,"3.2.B05 - Automate tests launching",179
2359,"4.4.B03 - Optimize resources consumption",254
1297,"3.2.B06 - Automate patching",179
442,"5.3.B03 - Design a creative solution",231
2370,"T-VIR-901 - Assisting users in using an application",358
2373,"T-SEC-901 - Documenting the malware",277
2374,"T-SEC-901 - Answering questions",136
2375,"T-SEC-901 - Arguing one's opinion",134
2376,"T-SEC-901 - Covering tracks",280
2377,"T-SEC-901 - Finding credentials on victim's machine",281
2378,"T-SEC-901 - Assessing malware operability",1232
2379,"T-SEC-901 - Evaluating artefacts security using OSINT",1234
2360,"T-CLO-902 - Auto-scaling",2359
2362,"T-CLO-902 - Complying with the subject",228
2364,"T-CLO-902 - Automating rollback",343
2365,"T-CLO-902 - Orchestrating components",344
1294,"5.3.B06 - Exploit vertically vulnerable artefacts",231
269,"4.1.B04 - Ensure code safety",248
280,"1.1.B01 - Locate valuable data",140
2401,"T-PRO-007 - Making a professional public presentation ",367
2400,"T-PRO-007 - Making a professional presentation to other departments",368
2403,"T-PRO-007 - Writing a concise document",410
2381,"T-SEC-901 - Connecting two distant machines",1247
2382,"T-SEC-901 - Using project management tools",175
2383,"T-SEC-901 - Using a versioning tool",186
2384,"T-SEC-901 - Submitting a clean and well organised delivery",189
2385,"T-SEC-901 - Producing a clean code",180
2386,"T-SEC-901 - Upgrading an existing malware",1283
2387,"T-SEC-901 - Using hacking tools",1388
2388,"T-SEC-901 - Transmitting information between a C2 server and victim's machine",216
2389,"T-SEC-901 - Testing malware's functionalities",224
2390,"T-SEC-901 - Granting self access",269
2391,"T-SEC-901 - Securizing communications",331
2392,"T-SEC-901 - Complying with the subject",228
2395,"T-SEC-901 - Decentralizing malware functionalities|interactions",245
2398,"T-SEC-901 - Exploiting vulnerabilities to escalate privilege",1294
2399,"T-SEC-901 - Exploiting vulnerabilities to spread oneself",1295
367,"0.3.B02 - Make a professional public presentation ",127
1488,"0.3.B07 - Define procedures",127
368,"0.3.B03 - Make a professional presentation inside your company",127
2406,"T-PRO-007 - Finding non trivial technical points",281
2407,"T-PRO-007 - Implementing a technology watch",372
2408,"T-PRO-007 - Complying with existing procedures",374
2409,"T-PRO-007 - Investigating relevant obstacles preventing a solution",1355
2410,"T-PRO-007 - Evaluating the feasibility of a solution",377
2412,"T-PRO-007 - Keeping data persistent",142
2404,"T-PRO-007 - Defining procedures",1488
281,"1.1.B02 - Find non trivial technical points",140
1337,"5.1.B09 - Patch vulnerable artefacts",227
374,"1.1.B04 - Comply with existing procedures",140
380,"2.1.B02 - Adapt vectors of communication",153
277,"0.3.B04 - Document produced work",127
1245,"2.1.B04 - Design a user interface",153
165,"2.2.B01 - Create a tutorial",164
2413,"T-PRO-007 - Displaying complex data",290
2414,"T-PRO-007 - Making data easily available",1425
2415,"T-PRO-007 - Adapting vectors of communication",380
2416,"T-PRO-007 - Designing a user interface",1245
2417,"T-PRO-007 - Connecting two distant machines",1247
2418,"T-PRO-007 - Connecting two containers",1249
2419,"T-PRO-007 - Creating a tutorial",165
2420,"T-PRO-007 - Organizing a conference",167
2422,"T-PRO-007 - Using project management tools",175
2423,"T-PRO-007 - Complying with corporate guidelines",1260
2424,"T-PRO-007 - Behaving decently on forums",150
2425,"T-PRO-007 - Adapting communication to the specific audience",429
2426,"T-PRO-007 - Behaving constructively on forums",448
2427,"T-PRO-007 - Promoting a project or oneself",1263
1289,"3.2.B04 - Automate generation of documentation",179
1260,"2.4.B03 - Comply with corporate guidelines",171
429,"2.5.B03 - Adapt communication to the specific audience",149
448,"2.5.B04 - Behave constructively on forums",149
198,"3.1.B05 - Write code documentation",193
205,"4.1.B03 - Virtually isolate components",248
2429,"T-PRO-007 - Automating deployment",355
2430,"T-PRO-007 - Taking ownership of legacy work",1283
2431,"T-PRO-007 - Automating generation of documentation",1289
2432,"T-PRO-007 - Automating tests launching",1292
2433,"T-PRO-007 - Automating patching",1297
2434,"T-PRO-007 - Keeping a legal watch",389
2435,"T-PRO-007 - Refering to a design pattern",218
2436,"T-PRO-007 - Handling events in a HMI",208
2437,"T-PRO-007 - Crafting a transmission protocol between two devices",212
2438,"T-PRO-007 - Building a full unit test coverage",214
2439,"T-PRO-007 - Building a functional test sequence",224
2440,"T-PRO-007 - Virtually isolating components",205
2441,"T-PRO-007 - Ensuring deployment quality",320
2465,"T-PRO-000 - Optimizing resources consumption",2359
342,"5.1.B02 - Deploy quickly",227
344,"5.1.B04 - Orchestrate",227
243,"5.2.B02 - Write technical specifications",237
320,"4.1.B05 - Ensure deployment quality",248
2249,"T-DAT-902 - Displaying complex data",290
2806,"T-DAT-902 - Documenting produced work",277
2267,"T-DAT-902 - Producing a clean code",180
391,"4.3.B01 - Take handicaps into consideration when offering a service",253
2443,"T-PRO-007 - Storing safely personal data",327
2444,"T-PRO-007 - Managing access",330
2446,"T-PRO-007 - Taking handicaps into consideration when offering a service",391
2447,"T-PRO-007 - Guaranteing a low Mean Time To Recovery",341
2448,"T-PRO-007 - Deploying quickly",342
2449,"T-PRO-007 - Automating recovery",343
2450,"T-PRO-007 - Orchestrating ",344
2452,"T-PRO-007 - Patching vulnerable artefacts",1337
2453,"T-PRO-007 - Writing functional specifications",241
2454,"T-PRO-007 - Writing technical specifications",243
2455,"T-PRO-007 - Writing non-functional specifications",240
2457,"T-PRO-007 - Organizing a project in several independent components",245
2451,"T-PRO-007 - Taking into account legal aspects of a project",1638
2456,"T-PRO-007 - Fixing steps (deliveries and non-regression tests)",238
240,"5.2.B03 - Write non-functional specifications",237
2402,"T-PRO-007 - Documenting produced work",277
259,"5.2.B06 - Prove flexibility and reactivity to client needs",237
358,"5.4.B01 - Assist users in using an application",236
1273,"5.4.B04 - Facilitate newbies integration",236
420,"1.2.B04 - Estimate an amount of work",144
2442,"T-PRO-007 - Ensuring devices safety",1317
2445,"T-PRO-007 - Suggesting solution to avoid possible safety breach in data",1397
2459,"T-PRO-007 - Identifying clients needs",352
2460,"T-PRO-007 - Taking into account budget and financial aspects of a project",400
2461,"T-PRO-007 - Designing an innovative solution",442
2462,"T-PRO-007 - Assisting users in using an application",358
2463,"T-PRO-007 - Facilitating newbies integration",1273
2464,"T-PRO-007 - Identifying required skills ",1411
2458,"T-PRO-007 - Proving flexibility and reactivity to client needs",259
2807,"T-DAT-902 - Gathering data on french housing market",280
1838,"T-ESP-901 - Automating deployment process",355
410,"0.3.B05 - Write a concise document",127
372,"1.1.B03 - Implement a technology watch",140
2778,"T-PRO-007 - Identifying an anomaly",1330
2278,"T-DAT-902 - Using data science libraries",1388
1372,"2.3.B03 - Participate in a social action",157
1384,"3.1.B07 - Create a synthesis of documents",193
1630,"T-MAJ-800 - Refining a solution to match user needs",259
1823,"T-ESP-901 - Writing a concise document",410
389,"3.3.B01 - Keep a legal watch",192
1821,"T-ESP-901 - Addressing a clear and organized speech",132
1822,"T-ESP-901 - Supporting a talk with relevant slides",128
1824,"T-ESP-901 - Answering questions",136
2808,"T-DAT-902 - Consuming data from an external API",360
1825,"T-ESP-901 - Arguing one's opinion",134
1826,"T-ESP-901 - Complying with the procedure manual",374
1829,"T-ESP-901 - Using specific tools to collaborate as a team",172
228,"5.0.B01 - Comply with specifications",268
2608,"5.2.B16 - Suggest a business model",237
352,"5.2.B07 - Identify clients needs",237
189,"3.0.B03 - Submit a clean and well organised delivery",265
1830,"T-ESP-901 - Respecting a testing procedure",1260
1831,"T-ESP-901 - Promoting a project or oneself",1263
1832,"T-ESP-901 - Delivering in time",183
2078,"T-ESP-901 - Packaging the components into one functional app",1582
180,"3.0.B04 - Produce a clean code",265
1842,"T-ESP-901 - Building a functional test sequence",224
2094,"T-DIT-901 - Delivering in time",183
2286,"T-DAT-902 - Delivering a fast interactive application",1309
312,"3.4.B12 - Develop using a Javascript framework",207
128,"0.3.B01 - Support a talk with relevant slides",127
203,"3.1.B04 - Provide a final quality assessment process",193
142,"1.3.B01 - Keep data persistent",141
1648,"5.4.B06 - Facilitate product acceptance",236
360,"1.3.B04 - Consume structured data from an external source",141
1971,"T-DIT-902 - Addressing a clear and organized speech",132
2080,"T-DIT-901 - Supporting a talk with relevant slides",128
2081,"T-DIT-901 - Communicating to coworkers not directly involved in the project",368
2084,"T-DIT-901 - Writing user stories",410
2086,"T-DIT-901 - Answering questions",136
2091,"T-DIT-901 - Identifying relevant indicators to monitor",1362
2095,"T-DIT-901 - Considering handicaps and impairments in the solution",391
2096,"T-DIT-901 - Complying with the subject",228
2082,"T-DIT-901 - Writing a product manifesto",410
2107,"T-DIT-901 - Identifying stakeholders",1816
2109,"T-DIT-901 - Identifying skills needed to implement a solution",1411
2098,"T-DIT-901 - Writing functional specifications",241
2036,"2.6.B02 - Publish on a public platform",162
1404,"T-DIT-810 - Taking into account the budget and financial aspects of the project",400
1359,"T-DIT-810 - Drafting a suitable financial model ",377
290,"1.3.B03 - Make complex data visually understandable",141
2315,"T-VIR-901 - Getting data from the smartphone",1225
2644,"T-VIR-901 - Delivering a relevant storyboard",290
2645,"T-VIR-901 - Setting up beta tests",2034
2333,"T-VIR-901 - Publishing on a public platform",2036
2649,"T-VIR-901 - Identifying user needs",352
2648,"T-VIR-901 - Refining a solution to match user needs",259
2646,"T-VIR-901 - Producing a promotional video",432
2647,"T-VIR-901 - Using a XR-SDK",2052
2763,"T-PRO-007 - Drawing an activity diagram",196
1263,"2.6.B01 - Promote a project or oneself",162
149,"2.5 Netiquette",148
2672,"2.5.B05 - Consider morality and ethics when proposing a solution",149
1457,"T-WEB-800 - Authentication via Oauth (Google/FB/…)",216
2680,"T-WEB-800 - Organizing code according to a micro-services architecture",245
2746,"T-PRO-007 - Getting data from an external device",1225
1355,"1.1.B07 - Investigate relevant obstacles preventing a solution",140
2747,"T-PRO-007 - Discriminating relevant information",145
2748,"T-PRO-007 - Evaluating the quality of digital content",1230
136,"0.5.B01 - Answer questions",133
1283,"3.2.B02 - Take ownership of legacy work",179
212,"3.4.B05 - Craft a transmission protocol between two devices",207
330,"4.2.B05 - Manage access",252
238,"5.2.B04 - Fix steps (deliveries and non-regression tests)",237
1816,"5.2.B15 - Identify stakeholders",237
1652,"T-PRO-800 - Supporting a talk with relevant slides",128
2740,"T-PRO-007 - Addressing a clear and organized speech",132
2741,"T-PRO-007 - Supporting a talk with relevant slides",128
2742,"T-PRO-007 - Understanding given instructions",413
2743,"T-PRO-007 - Working out meaning from written documents",414
2744,"T-PRO-007 - Answering questions",136
2745,"T-PRO-007 - Arguing one's opinion",134
1867,"T-CLO-901 - Defining procedures",1488
249,"3.0.B05 - Deliver a robust solution",265
2761,"T-PRO-007 - Drawing a use-case diagram",201
132,"0.1.B01 - Address a clear and organized speech",131
2292,"T-DAT-902 - Complying with the subject",228
2749,"T-PRO-007 - Assessing produced work",1232
2750,"T-PRO-007 - Creating session tokens",289
2751,"T-PRO-007 - Consuming structured data from an external source",360
2752,"T-PRO-007 - Loging data in a file",1238
2753,"T-PRO-007 - Reformating data",1366
2754,"T-PRO-007 - Using specific tools to collaborate as a team",172
2755,"T-PRO-007 - Participating in a code review",1561
2756,"T-PRO-007 - Delivering in time",183
2757,"T-PRO-007 - Using a versioning tool",186
186,"3.0.B02 - Use a versioning tool",265
2758,"T-PRO-007 - Submiting a clean and well organised delivery",189
2759,"T-PRO-007 - Producing a clean code",180
2760,"T-PRO-007 - Delivering a robust solution",249
2779,"T-PRO-007 - Selecting the most suitable algorithm",1318
2780,"T-PRO-007 - Adapting wireless transmission to the client needs",1636
2781,"T-PRO-007 - Identifying the most suitable possible data",1637
2809,"T-DAT-902 - Homogenizing different data sources",1366
2762,"T-PRO-007 - Drawing a class diagram",194
2764,"T-PRO-007 - Using libraries",1388
1388,"3.2.B07 - Use libraries",179
2765,"T-PRO-007 - Organizing a code in logical entities",220
2766,"T-PRO-007 - Distributing the work along appropriate classes and avoiding extra static methods",210
210,"3.4.B04 - Distribute the work along appropriate classes and avoiding extra static methods",207
2767,"T-PRO-007 - Transmiting information between two entities",216
2768,"T-PRO-007 - Coding in a functional paradigm-compliant way",255
2769,"T-PRO-007 - Developing an authentication method",313
2786,"T-VIR-902 - Overlaying data",1286
2770,"T-PRO-007 - Developing using a Javascript framework",312
2771,"T-PRO-007 - Utilizing an application development framework",1306
2772,"T-PRO-007 - Producing fast code",1309
2773,"T-PRO-007 - Ensuring code safety",269
2774,"T-PRO-007 - Keeping environment variables coherent",326
2775,"T-PRO-007 - Strengthening security using a password policy",328
2776,"T-PRO-007 - Complying with specifications",228
2777,"T-PRO-007 - Defining access",362
362,"5.1.B06 - Define access",227
1637,"5.2.B11 - Discriminate operable data",237
2782,"T-PRO-007 - Recruiting the proper coworkers to fit a team",404
2783,"T-PRO-007 - Making IP automatically available",1335
1335,"5.1.B08 - Make IP automatically available",227
2784,"T-VIR-902 - Improving spatial immersion",1240
2040,"T-VIR-902 - Using a versioning tool",186
2785,"T-VIR-902 - Improving cognitive immersion",1240
2063,"T-VIR-902 - Designing the code to easily add new device",2061
2023,"T-VIR-902 - Anticipating XR pain points",1355
2031,"T-VIR-902 - Improving emotional immersion",1240
2076,"T-VIR-902 - Designing a creative game",442
2787,"T-VIR-902 - Utilizing an XR engine",1306
1524,"T-MAJ-800 - Documenting produced work",277
1616,"T-MAJ-800 - Complying with the subject",228
1649,"T-MAJ-800 - Facilitating product acceptance",1648
1541,"T-MAJ-800 - Using a document to refine value proposition",1362
1875,"T-CLO-901 - Locating logs",280
1558,"T-MAJ-800 - Using collaborating tools effectively",172
1560,"T-MAJ-800 - Complying with team guidelines",1260
1863,"T-CLO-901 - Documenting produced work",277
2789,"T-CLO-901 - Arguing one's opinion",134
1892,"T-DAT-901 - Displaying complex data",290
1425,"1.3.B10 - Make data easily available",141
134,"0.5.B02 - Argue one's opinion",133
1884,"T-CLO-901 - Finding useful info among documentation",145
2790,"T-CLO-901 - Choosing relevant comparison criteria",1362
1362,"1.2.B08 - Identify relevant criteria of analysis",144
1895,"T-CLO-901 - Centralize deployment",1236
1919,"T-CLO-901 - Delivering a redundant and resilient soution",249
1948,"T-CLO-901 - Improving infrastructure safety",1509
2791,"T-CLO-901 - Storing credentials",327
327,"4.2.B02 - Store safely personal data",252
1954,"T-CLO-901 - Complying with specifications",228
1957,"T-CLO-901 - Automating services reboots",343
2792,"T-CLO-901 - Estimating infrastructure costs",400
1906,"T-AIA-901 - Delivering in time",183
1922,"T-AIA-901 - Delivering a robust solution",249
1928,"T-AIA-901 - Using a speech recognition algorithm",1283
1865,"T-DAT-901 - Writing a concise document",410
1877,"T-DAT-901 - Finding non trivial technical points",281
1886,"T-DAT-901 - Assessing produced work",1232
145,"1.2.B01 - Discriminate relevant information",144
2793,"T-DAT-901 - Discriminating relevant information",145
1240,"1.3.B07 - Enhance expressiveness of the simulation",141
2794,"T-DAT-901 - Displaying dynamic data",1240
2795,"T-DAT-901 - Centralizing tasks",1236
1236,"1.3.B08 - Centralize tasks",141
2796,"T-DAT-901 - Making data easily available",1425
2797,"T-DAT-901 - Connecting distant machines",1247
2798,"T-DAT-901 - Connecting two containers",1249
1249,"2.1.B06 - Connect two containers",153
2799,"T-DAT-901 - Drawing a diagram",201
201,"3.1.B01 - Draw a diagram",193
2800,"T-DAT-901 - Automating scraper deployment",355
355,"3.2.B01 - Automate deployment",179
2801,"T-DAT-901 - Developping using a Javascript framework",312
2802,"T-DAT-901 - Containerizing each components separately",245
2810,"T-DAT-902 - Making data easily available",1425
2371,"T-SEC-901 - Addressing a clear and organized speech",132
2372,"T-SEC-901 - Supporting a talk with relevant slides",128
2380,"T-SEC-901 - Obfuscating malware",1366
2393,"T-SEC-901 - Automating malware recovery",343
2394,"T-SEC-901 - Identifying anomalies to exploit them",1330
2021,"T-SEC-902 - Answering questions",136
2024,"T-SEC-902 - Defining a risk analysis matrix",1355
2039,"T-SEC-902 - Delivering in time",183
2041,"T-SEC-902 - Using a versioning tool",186
